location,percentage_obese_adults
Nauru,0.61
Cook Islands,0.56
Palau,0.55
Marshall Islands,0.53
Tuvalu,0.52
Niue,0.50
Tonga,0.48
Samoa,0.47
Kiribati,0.46
Micronesia,0.46
Kuwait,0.38
United States,0.36
Jordan,0.36
Saudi Arabia,0.35
Qatar,0.35
Lebanon,0.34
Libya,0.33
Turkey,0.32
Egypt,0.32
United Arab Emirates,0.32
Bahamas,0.32
New Zealand,0.31
Iraq,0.30
Fiji,0.30
Bahrain,0.30
Canada,0.29
Australia,0.29
Malta,0.29
Mexico,0.29
Argentina,0.28
South Africa,0.28
Chile,0.28
Dominica,0.28
Uruguay,0.28
Syria,0.28
United Kingdom,0.28
Dominican Republic,0.28
Algeria,0.27
Oman,0.27
Tunisia,0.27
Suriname,0.26
Hungary,0.26
Lithuania,0.26
Israel,0.26
Morocco,0.26
Czechia,0.26
Iran,0.26
Costa Rica,0.26
Andorra,0.26
Venezuela,0.26
Ireland,0.25
Vanuatu,0.25
Bulgaria,0.25
Greece,0.25
Jamaica,0.25
El Salvador,0.25
Cuba,0.25
Belarus,0.25
Croatia,0.24
Saint Vincent and The Grenadines,0.24
Belize,0.24
Ukraine,0.24
Spain,0.24
Nicaragua,0.24
Latvia,0.24
Montenegro,0.23
Barbados,0.23
Norway,0.23
Poland,0.23
Russia,0.23
Saint Kitts and Nevis,0.23
Panama,0.23
Haiti,0.23
Luxembourg,0.23
Solomon Islands,0.23
Romania,0.23
North Macedonia,0.22
Colombia,0.22
Germany,0.22
Finland,0.22
Belgium,0.22
Brazil,0.22
Iceland,0.22
Cyprus,0.22
Albania,0.22
Georgia,0.22
France,0.22
Serbia,0.22
Honduras,0.21
Grenada,0.21
Papua New Guinea,0.21
Estonia,0.21
Guatemala,0.21
Kazakhstan,0.21
Portugal,0.21
Mongolia,0.21
Sweden,0.21
Slovakia,0.21
Netherlands,0.20
Paraguay,0.20
Guyana,0.20
Slovenia,0.20
Armenia,0.20
Bolivia,0.20
Austria,0.20
Azerbaijan,0.20
Ecuador,0.20
Italy,0.20
Saint Lucia,0.20
Denmark,0.20
Peru,0.20
Switzerland,0.20
Antigua and Barbuda,0.19
Botswana,0.19
Moldova,0.19
Trinidad and Tobago,0.19
Turkmenistan,0.19
Bosnia and Herzegovina,0.18
Namibia,0.17
Yemen,0.17
Lesotho,0.17
Kyrgyzstan,0.17
Uzbekistan,0.17
Swaziland,0.17
Malaysia,0.16
Zimbabwe,0.16
Gabon,0.15
Tajikistan,0.14
Brunei,0.14
Seychelles,0.14
Djibouti,0.14
Mauritania,0.13
Sao Tome and Principe,0.12
Cape Verde,0.12
Cameroon,0.11
Ghana,0.11
Mauritius,0.11
Gambia,0.10
Ivory Coast,0.10
Thailand,0.10
Liberia,0.10
Congo,0.10
Benin,0.10
Guinea-Bissau,0.10
Nigeria,0.09
Senegal,0.09
Sierra Leone,0.09
Maldives,0.09
South Sudan,0.09
Mali,0.09
Sudan,0.09
Pakistan,0.09
Togo,0.08
Tanzania,0.08
Somalia,0.08
Angola,0.08
Zambia,0.08
Equatorial Guinea,0.08
Comoros,0.08
Guinea,0.08
Central African Republic,0.08
Mozambique,0.07
Kenya,0.07
Indonesia,0.07
North Korea,0.07
Democratic Republic of Congo,0.07
Bhutan,0.06
Philippines,0.06
China,0.06
Singapore,0.06
Chad,0.06
Rwanda,0.06
Malawi,0.06
Myanmar,0.06
Burkina Faso,0.06
Niger,0.06
Afghanistan,0.06
Burundi,0.05
Laos,0.05
Madagascar,0.05
Uganda,0.05
Sri Lanka,0.05
Eritrea,0.05
South Korea,0.05
Ethiopia,0.05
Japan,0.04
Nepal,0.04
Cambodia,0.04
India,0.04
Timor,0.04
Bangladesh,0.04
Vietnam,0.02
